year,geo,sample,k,role,n_k,base_sum,ratio,lo,hi,se_log
2001,illinois_ex_cook,single_observed,39,placebo,75,612,0.7352941176470589,0.5785252652417059,0.9345442142798759,0.12234099992005096
2001,illinois_ex_cook,single_observed,59,placebo,15,205,0.4390243902439025,0.25990007476202914,0.7416019999436709,0.2674784392192284
2001,illinois_ex_cook,single_observed,69,placebo,15,116,0.7758620689655172,0.45313012846225265,1.3284527164465487,0.27438541565075775
2002,chicago,all_observed,49,test,17,118,0.8644067796610169,0.5198720119628003,1.4372750668050889,0.25941878436796195
2002,chicago,all_observed,29,placebo,48,465,0.6193548387096774,0.4601414209389794,0.833657651272305,0.1516043237105787
2002,chicago,all_observed,39,placebo,23,216,0.6388888888888888,0.4156459186639721,0.9820354152825693,0.21933511004669282
2002,chicago,all_observed,59,placebo,7,87,0.4827586206896552,0.22351537572033855,1.0426839097717238,0.39287580191544763
2002,chicago,all_observed,69,placebo,5,46,0.6521739130434783,0.2591386499357708,1.6413252633671722,0.47089184579347154
2002,chicago,single_all,49,test,15,92,0.9782608695652174,0.5668008082568057,1.688413839538671,0.2784532849223689
2002,chicago,single_all,29,placebo,28,340,0.49411764705882355,0.33610317789286,0.7264205315332568,0.1966099239226595
2002,chicago,single_all,39,placebo,17,161,0.6335403726708074,0.38432417938885466,1.0443615711145788,0.25501903759521233
2002,chicago,single_all,59,placebo,5,66,0.45454545454545453,0.1831239290930093,1.1282609065415754,0.4638442789897437
2002,chicago,single_all,69,placebo,4,37,0.6486486486486486,0.23119867348635487,1.819842056397222,0.5263335701121742
2002,chicago,single_observed,49,test,15,92,0.9782608695652174,0.5668008082568057,1.688413839538671,0.2784532849223689
2002,chicago,single_observed,29,placebo,28,340,0.49411764705882355,0.33610317789286,0.7264205315332568,0.1966099239226595
2002,chicago,single_observed,39,placebo,17,161,0.6335403726708074,0.38432417938885466,1.0443615711145788,0.25501903759521233
2002,chicago,single_observed,59,placebo,5,66,0.45454545454545453,0.1831239290930093,1.1282609065415754,0.4638442789897437
2002,chicago,single_observed,69,placebo,4,34,0.7058823529411764,0.2504862604623284,1.9892104871305234,0.5285941398709244
2002,cook_ex_chicago,all_observed,49,test,21,163,0.7730061349693251,0.4907146016170689,1.2176904512951625,0.23184912539020067
2002,cook_ex_chicago,all_observed,29,placebo,38,541,0.4214417744916821,0.30330853066963637,0.5855858023332488,0.16782198398652676
2002,cook_ex_chicago,all_observed,39,placebo,24,249,0.5783132530120482,0.3803891136439103,0.8792213199940808,0.21373518878204117
