year,firm_id,company,naics2,chicago_sites,chicago_emp,chicago_emp_observed,chicago_sites_emp_unknown,cook_ex_sites,cook_ex_emp,msa_ex_cook_sites,msa_ex_cook_emp,il_ex_msa_sites,il_ex_msa_emp,il_sites,il_emp,n_status_codes,sites_in_and_out_chicago,pct_chicago_emp_observed
1997,402885271,CHICAGO READ MENTAL HEALTH CTR,92,3,903.0,0.0,0,2,420.0,1,1200.0,5,1286.0,11,3809.0,2,True,0.0
1997,009324427,BELTONE ELECTRONIC CORP,33,2,903.0,0.0,0,7,20.0,4,14.0,30,101.0,43,1038.0,2,True,0.0
1997,408172047,ILLINOIS INSTITUTE-TECHNOLOGY,61,1,900.0,0.0,0,0,0.0,0,0.0,0,0.0,1,900.0,1,False,0.0
1997,475694782,CHICAGO CAMPING SVC,62,1,900.0,0.0,0,0,0.0,0,0.0,0,0.0,1,900.0,1,False,0.0
1997,001332337,JENNER & BLOCK,54,1,900.0,0.0,0,0,0.0,0,0.0,0,0.0,1,900.0,1,False,0.0
1997,007509748,COOPERS & LYBRAND,54,1,900.0,0.0,0,2,208.0,0,0.0,0,0.0,3,1108.0,1,True,0.0
1997,820154003,LA SALLE PARTNERS INC,53,7,881.0,0.0,0,4,10.0,5,25.0,0,0.0,16,916.0,2,True,0.0
1997,001122381,DELOITTE & TOUCHE,51,2,880.0,0.0,0,1,55.0,1,60.0,0,0.0,4,995.0,1,True,0.0
1997,007511256,ABD GROUP,42,6,867.0,0.0,0,1,40.0,6,462.0,1,30.0,14,1399.0,2,True,0.0
1997,004630315,DDB NEEDHAM,54,8,857.0,0.0,0,1,75.0,1,5.0,0,0.0,10,937.0,1,True,0.0
1997,003678943,SMITH BARNEY CHICAGO MEGA OFC,52,23,857.0,0.0,0,42,610.0,53,1058.0,58,994.0,176,3519.0,2,True,0.0
1997,007520737,K MART,45,5,854.0,0.0,0,29,3775.0,35,4263.0,49,6260.0,118,15152.0,1,True,0.0
1997,150999860,MID AMERICA COMMODITY EXCH,52,1,850.0,0.0,0,0,0.0,0,0.0,0,0.0,1,850.0,1,False,0.0
1997,820706885,MALCOLM X COLLEGE,61,1,850.0,0.0,0,0,0.0,0,0.0,0,0.0,1,850.0,1,False,0.0
1997,901617357,CITY COLLEGES OF CHICAGO,61,1,850.0,0.0,0,0,0.0,0,0.0,0,0.0,1,850.0,1,False,0.0
1997,417525995,CBOE,52,1,850.0,0.0,0,0,0.0,0,0.0,0,0.0,1,850.0,1,False,0.0
1997,003868585,CHICAGO BOARD OF TRADE,52,1,850.0,0.0,0,0,0.0,0,0.0,0,0.0,1,850.0,1,False,0.0
1997,007526478,NATIONSBANC CAPITAL MARKETS,52,4,843.0,0.0,0,9,42.0,7,23.0,30,561.0,50,1469.0,1,True,0.0
1997,007522097,HELENE CURTIS INDUSTRIES INC,33,5,842.0,0.0,0,5,236.0,10,947.0,5,305.0,25,2330.0,2,True,0.0
1997,007509318,SARA LEE CORP,31,10,840.0,0.0,0,13,259.0,13,445.0,3,22.0,39,1566.0,3,True,0.0
1997,007519697,NAVISTAR INTERNATIONAL CORP,33,3,820.0,0.0,1,4,1496.0,2,197.0,0,0.0,9,2513.0,3,True,0.0
1997,820537728,TRINITY HOSPITAL,61,1,815.0,0.0,0,0,0.0,0,0.0,0,0.0,1,815.0,1,False,0.0
1997,836788935,THC CORP,42,3,813.0,0.0,0,4,378.0,5,228.0,2,114.0,14,1533.0,1,True,0.0
