unit,sample,data_year,threshold,control,chicago_spike,control_spike,gap
establishment,all,2018,60,illinois_ex_cook,31.157894736842103,25.152941176470588,6.004953560371515
establishment,all,2019,60,illinois_ex_cook,29.9,25.804878048780488,4.095121951219511
establishment,all,2020,60,illinois_ex_cook,30.5,24.93975903614458,5.560240963855421
establishment,all,2021,60,illinois_ex_cook,35.1764705882353,25.253012048192772,9.923458540042525
establishment,all,2022,60,illinois_ex_cook,41.333333333333336,25.950617283950617,15.382716049382719
establishment,all,2023,60,illinois_ex_cook,15.842105263157896,17.06086956521739,-1.2187643020594958
establishment,all,2024,60,illinois_ex_cook,12.235294117647058,13.188811188811188,-0.9535170711641303
establishment,all,2025,60,illinois_ex_cook,10.909090909090908,12.07792207792208,-1.168831168831172
establishment,rows,2018,40,cook_ex_chicago,23.5,18.928571428571427,4.571428571428573
establishment,rows,2019,40,cook_ex_chicago,27.4375,19.358490566037737,8.079009433962263
establishment,rows,2020,40,cook_ex_chicago,28.533333333333335,19.692307692307693,8.841025641025642
establishment,rows,2021,40,cook_ex_chicago,25.939393939393938,19.84313725490196,6.096256684491976
establishment,rows,2022,40,cook_ex_chicago,25.575757575757574,20.571428571428573,5.004329004329001
establishment,rows,2023,40,cook_ex_chicago,24.666666666666668,20.625,4.041666666666668
establishment,rows,2024,40,cook_ex_chicago,25.612903225806452,21.955555555555556,3.6573476702508962
establishment,rows,2025,40,cook_ex_chicago,24.838709677419356,21.818181818181817,3.0205278592375393
establishment,rows,2018,50,cook_ex_chicago,11.638095238095238,18.09090909090909,-6.452813852813852
establishment,rows,2019,50,cook_ex_chicago,11.39047619047619,18.47619047619047,-7.08571428571428
establishment,rows,2020,50,cook_ex_chicago,11.192307692307692,19.025,-7.832692307692307
establishment,rows,2021,50,cook_ex_chicago,11.775510204081632,17.48235294117647,-5.706842737094837
establishment,rows,2022,50,cook_ex_chicago,11.656565656565656,18.096385542168676,-6.43981988560302
